Countries;Country Code;IMF Loans (2023);Primary Balance;Overall Balance;Ratio of reserve/ARA metric  (Unit);Exports (% GDP);Imports (% GDP);EMBI 2023;Current Acount Balance (% GDP);Inflation (Annual)
Argentina;ARG;47612397027;-2,795208038;-5,32958909;0,165203159;12,74924578;13,89126635;1907;-3,2;211,4
Belize;BLZ;58342501,4;-0,161200015;-2,424285169;;55,29208471;51,239671;;-0,6;3,7
Bolivia;BOL;528961279,4;-8,671279936;-10,94492428;0,205590364;25,53223982;30,92599916;2233;-2,5;2,1
Brazil;BRA;18072742641;-2,167606539;-7,712440135;1,274543788;17,9693243;15,69690553;200;-1,3;4,6
Chile;CHL;0;-1,9134559;-2,2739335;0,825995894;30,81106207;29,91366161;132;-3,1;3,9
Colombia;COL;8650931119;0,920309539;-2,923399839;1,248774434;17,83167841;22,55645409;272;-2,3;9,3
Costa Rica;CRI;2225619181;1,550623172;-3,251519968;0,912502165;38,91563204;33,55636705;235;-1,4;-1,8
Ecuador;ECU;9233103013;-2,614492516;-3,481228173;0,171198012;28,56592959;28,43182398;2055;1,9;1,3
El Salvador;SLV;878089194,2;-0,123689318;-4,686447171;0,406418716;31,39714314;50,3176292;684;-1,1;1,2
Guatemala;GTM;820705986,5;0,381203564;-1,251580829;1,743542838;16,60623746;31,69083146;210;3,1;4,2
Honduras;HND;1102822873;-0,725653681;-1,964272743;1,222650647;37,36868047;61,42329936;362;-3,9;5,2
Mexico;MEX;15286469262;1,494625752;-4,288418377;1,165311745;36,16667034;37,60286278;340;-0,7;4,7
Nicaragua;NIC;675853972,6;3,798727417;2,308007839;;45,84937177;59,15372584;;8,2;5,6
Panama;PAN;0;-1,36680075;-3,902295847;0,1857446;46,46839386;43,06467452;282;-3,1;1,9
Paraguay;PER;2534348083;-2,148951284;-3,809461888;1,649246325;27,13530582;23,64987838;186;-0,4;3,7
Peru;PRY;386704054,5;-1,337535942;-2,778845591;2,291700517;42,06419021;40,34102056;160;0,3;3,2
Uruguay;URY;0;-0,995084579;-3,134516733;1,615764563;28,14030123;24,77068583;85;-3,4;5,1
Venezuela;VEN;0;-0,490767869;-1,248476404;0,227671617;;;21422;5,8;190
